epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,16.2337,0.90119,2.53215,0.22869,0.60942,1.10363,0.66574,0.78571,0.74177,0.45666,0.48181,0.35714,0.25745,0.07253,1.59906,6.46003,0.45067,1.00016,1.53612,0.000386152,0.000386152,0.000386152
28,16.7863,0.86603,2.78686,0.36774,0.5759,0.9788,0.66574,0.78571,0.74177,0.45666,0.48181,0.35714,0.25745,0.07253,1.59906,6.46003,0.45067,1.00016,1.53612,0.000395658,0.000395658,0.000395658
29,17.3525,0.96009,2.97725,0.38933,0.77546,1.03786,0.76144,0.78571,0.77915,0.48723,0.53711,0.35714,0.2617,0.09157,1.54833,6.40576,0.45198,0.98029,1.59295,0.000404768,0.000404768,0.000404768
30,17.8981,0.89769,2.41937,0.28219,0.65538,1.1418,0.76144,0.78571,0.77915,0.48723,0.53711,0.35714,0.2617,0.09157,1.54833,6.40576,0.45198,0.98029,1.59295,0.000413482,0.000413482,0.000413482
31,18.5398,0.963,2.46605,0.32087,0.80949,1.27418,0.72352,0.74891,0.78505,0.50807,0.53856,0.35714,0.25773,0.06375,1.46136,6.49109,0.45031,1.00448,1.62489,0.0004218,0.0004218,0.0004218
32,19.1148,0.61828,2.53777,0.25485,0.43622,0.92401,0.72352,0.74891,0.78505,0.50807,0.53856,0.35714,0.25773,0.06375,1.46136,6.49109,0.45031,1.00448,1.62489,0.000429722,0.000429722,0.000429722
33,19.7737,1.02096,1.92208,0.28452,0.73992,1.1607,0.88745,0.57143,0.77043,0.51728,0.66037,0.42857,0.34907,0.04883,1.40066,6.64576,0.44354,0.98761,1.58963,0.000437248,0.000437248,0.000437248
34,20.3925,0.97014,2.74992,0.29331,0.69596,1.16978,0.88745,0.57143,0.77043,0.51728,0.66037,0.42857,0.34907,0.04883,1.40066,6.64576,0.44354,0.98761,1.58963,0.000444378,0.000444378,0.000444378
35,20.9984,0.95794,3.2066,0.36682,0.63722,1.09992,0.95787,0.57143,0.77089,0.50527,0.49695,0.28571,0.17227,0.0357,1.41157,6.81133,0.45898,1.04576,1.52699,0.000451112,0.000451112,0.000451112
36,21.6417,1.05017,3.79824,0.32801,0.78164,1.14969,0.95787,0.57143,0.77089,0.50527,0.49695,0.28571,0.17227,0.0357,1.41157,6.81133,0.45898,1.04576,1.52699,0.00045745,0.00045745,0.00045745
37,22.2548,0.84478,2.51414,0.34499,0.7013,1.01559,0.7212,0.64286,0.75005,0.46631,0.54245,0.35714,0.21268,0.0559,1.55696,6.60522,0.50089,1.12862,1.53305,0.000463392,0.000463392,0.000463392
38,22.8736,0.95497,2.86225,0.37531,0.80056,0.9706,0.7212,0.64286,0.75005,0.46631,0.54245,0.35714,0.21268,0.0559,1.55696,6.60522,0.50089,1.12862,1.53305,0.000468938,0.000468938,0.000468938
39,23.4698,0.93175,2.55235,0.29987,0.80199,1.03146,0.76181,0.57143,0.67266,0.39881,0.66658,0.5,0.40366,0.06839,1.66894,6.60432,0.53263,1.2985,1.57304,0.000474088,0.000474088,0.000474088
40,24.0638,1.23645,3.40414,0.2836,0.94676,1.29111,0.76181,0.57143,0.67266,0.39881,0.66658,0.5,0.40366,0.06839,1.66894,6.60432,0.53263,1.2985,1.57304,0.000478842,0.000478842,0.000478842
41,24.7232,1.18694,3.28558,0.38065,0.85326,1.16852,0.62983,0.64286,0.64401,0.38626,0.3324,0.28571,0.12988,0.03818,1.78937,6.8382,0.55784,1.489,1.62423,0.0004832,0.0004832,0.0004832
42,25.494,0.93051,2.98966,0.26938,0.79303,1.075,0.62983,0.64286,0.64401,0.38626,0.3324,0.28571,0.12988,0.03818,1.78937,6.8382,0.55784,1.489,1.62423,0.000487162,0.000487162,0.000487162
43,26.1537,0.9282,4.28363,0.26965,0.72488,1.02794,0.56691,0.64286,0.6189,0.33445,0.15043,0.14286,0.05269,0.01792,1.88346,6.98668,0.56403,1.68849,1.72526,0.000490728,0.000490728,0.000490728
44,26.8201,0.89974,2.58634,0.26063,0.64483,1.06204,0.56691,0.64286,0.6189,0.33445,0.15043,0.14286,0.05269,0.01792,1.88346,6.98668,0.56403,1.68849,1.72526,0.000493898,0.000493898,0.000493898
45,27.4833,1.11664,3.21833,0.42268,0.79749,1.13353,0.80421,0.35714,0.56752,0.30896,0.12579,0.14286,0.02632,0.00919,1.967,7.21173,0.57435,1.80116,1.78345,0.000496672,0.000496672,0.000496672
